Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
2656,Hy-Vee Food Store / Corning,A,300  10th St,Corning,IA,51632,"300 10th St
Corning, IA 51632
(40.991861, -94.731809)",10/01/2018
2657,Hy-Vee Food Store / Bedford,A,1604 Bent,Bedford,IA,50833,"1604 Bent
Bedford, IA 50833
(40.676171, -94.725578)",10/01/2018
2674,Hy-Vee Food Store / Lamoni,A,720 East Main,Lamoni,IA,50140,"720 East Main
Lamoni, IA 50140
(40.623647, -93.924475)",10/01/2018
2835,CVS Pharmacy #8538 / Cedar Falls,A,2302 West First St,Cedar Falls,IA,50613,"2302 West First St
Cedar Falls, IA 50613
(42.539874, -92.472778)",10/01/2018
2954,Dahl's / Ingersoll,I,3425 Ingersoll,Des Moines,IA,50300,"3425 Ingersoll
Des Moines, IA 50300
(41.586313, -93.663337)",10/01/2018
3013,Keith's Foods,A,207 E Locust St,Bloomfield,IA,52537,"207 E Locust St
Bloomfield, IA 52537
(40.752691, -92.412847)",10/01/2018
3041,Shugar's Super Valu / Colfax,A,28 E Howard,Colfax,IA,50054,"28 E Howard
Colfax, IA 50054
(41.677932, -93.244443)",10/01/2018
3045,Britt Food Center,A,8 2nd St NW,Britt,IA,50423,"8 2nd St NW
Britt, IA 50423
(43.098696, -93.801917)",10/01/2018
3162,Nash Finch / Wholesale Food,I,807 Grandview,Muscatine,IA,52761,"807 Grandview
Muscatine, IA 52761
(41.408437, -91.064113)",10/01/2018
3354,Sam's Club 8238 / Davenport,A,3845 Elmore Ave.,Davenport,IA,52807,"3845 Elmore Ave.
Davenport, IA 52807
(41.559731, -90.527081)",10/01/2018
3385,Sam's Club 8162 / Cedar Rapids,A,2605 Blairs Ferry Rd NE,Cedar Rapids,IA,52402,"2605 Blairs Ferry Rd NE
Cedar Rapids, IA 52402
(42.031819, -91.67969)",10/01/2018
3886,Wal-Mart 0646 / Anamosa,A,101  115 St,Anamosa,IA,52205,"101 115 St
Anamosa, IA 52205",10/01/2018
3738,Hartig Drug Company #4 / Dubuque,A,2225 Central Ave,Dubuque,IA,52001,"2225 Central Ave
Dubuque, IA 52001
(42.51384, -90.671531)",10/01/2018
3740,Hometown Foods / Waterloo,A,1010 E Mitchell Ave,Waterloo,IA,50702,"1010 E Mitchell Ave
Waterloo, IA 50702
(42.476639, -92.343118)",10/01/2018
3831,The Market Of Madrid,A,301 Annex Rd,Madrid,IA,50156,"301 Annex Rd
Madrid, IA 50156
(41.87894, -93.815365)",10/01/2018
3833,Wal-Mart 3394 / Atlantic,A,1905 East 7th St,Atlantic,IA,50022,"1905 East 7th St
Atlantic, IA 50022
(41.403853, -94.98571)",10/01/2018
3838,Schnucks / Bettendorf,A,858 Middle Rd,Bettendorf,IA,52722,"858 Middle Rd
Bettendorf, IA 52722
(41.539421, -90.520013)",10/01/2018
3872,Target Store T-0086 / Dubuque,A,3500 Dodge St,Dubuque,IA,52003,"3500 Dodge St
Dubuque, IA 52003
(42.491944, -90.720589)",10/01/2018
3873,Target Store T-1113 / Coralville,A,1441 Coral Ridge Ave,Coralville,IA,52241,"1441 Coral Ridge Ave
Coralville, IA 52241
(41.691276, -91.608399)",10/01/2018
3879,Target Store T-1800 / Sioux City,A,5775 Sunnybrook Dr,Sioux City,IA,51106,"5775 Sunnybrook Dr
Sioux City, IA 51106
(42.448939, -96.332446)",10/01/2018
3880,Target Store T-2454 / Council Bluffs,A,3804 Metro Dr,Council Bluffs,IA,51503,"3804 Metro Dr
Council Bluffs, IA 51503
(41.220979, -95.837595)",10/01/2018
3881,7 Rayos Liquor Store,A,120 E Main St,Marshalltown,IA,50158,"120 E Main St
Marshalltown, IA 50158
(42.049166, -92.9104)",10/01/2018
3805,Washington Street Mini Mart,A,1601 Washington St,Davenport,IA,52804,"1601 Washington St
Davenport, IA 52804
(41.535982, -90.596253)",10/01/2018
3806,Target Store T-1901 / Wdm,A,5405 Mills Civic Pkwy,West Des Moines,IA,50266,"5405 Mills Civic Pkwy
West Des Moines, IA 50266
(41.559272, -93.779823)",10/01/2018
3876,Affiliated Foods Of Manson,I,1101 MAIN ST PO BOX 535,Manson,IA,50563,"1101 MAIN ST PO BOX 535
Manson, IA 50563
(42.530636, -94.534319)",10/01/2018
3877,Target Store T-2041 / Des Moines,A,5901 Douglas Ave,Des Moines,IA,50322,"5901 Douglas Ave
Des Moines, IA 50322
(41.629529, -93.699209)",10/01/2018
3894,Smokin' Joe's #6 Tobacco and Liquor Outlet,I,1404  1ST AVE NE,Cedar Rapids,IA,52402,"1404 1ST AVE NE
Cedar Rapids, IA 52402
(41.987286, -91.6537)",10/01/2018
3896,Smokin' Joe's #18 Tobacco and Liquor Outlet,A,1901 Broadway St,Iowa City,IA,52240,"1901 Broadway St
Iowa City, IA 52240
(41.641383, -91.520308)",10/01/2018
3899,Wal-Mart 3762 / WDM,A,6365 Stagecoach Dr,West Des Moines,IA,50266,"6365 Stagecoach Dr
West Des Moines, IA 50266
(41.558107, -93.795512)",10/01/2018
3901,Target Store T-0878 / Fort Dodge,A,2910  1 Ave S,Fort Dodge,IA,50501,"2910 1 Ave S
Fort Dodge, IA 50501
(42.505335, -94.157366)",10/01/2018
4014,Wal-Mart 1732 / Denison,A,510 C Ave,Denison,IA,51442,"510 C Ave
Denison, IA 51442
(42.024726, -95.37051)",10/01/2018
3926,Liquor Downtown / Iowa City,I,315 S Gilbert St,Iowa City,IA,52240,"315 S Gilbert St
Iowa City, IA 52240
(41.657654, -91.530181)",10/01/2018
3928,Smokin' Joe's #12 Tobacco and Liquor Outlet,A,465 Hwy 965 Unit G,North Liberty,IA,52317,"465 Hwy 965 Unit G
North Liberty, IA 52317
(41.739524, -91.60759)",10/01/2018
